STOP_ID,TRF_DISTRICT_CODE,BAY_CODE,BEARING_CODE,ON_STREET_NAME,INTERSECTION_LOC,HASTUS_CROSS_STREET_NAME,KCM_MANAGED_EQUIPMENT,ROUTE_LIST,NUM_SHELTERS,STOP_STATUS,GISOBJID,lon,lat,is_hotspot,compactor,has_trash,notes
108,SC,,E,E Madison St,Far side,22nd Ave,YES,G,1,ACT,100012365,-122.3039415,47.61813263,FALSE,FALSE,FALSE,
111,SC,,E,E Madison St,Far side,27th Ave E,YES,11 8 988EN G,1,ACT,100012372,-122.2972598,47.62265668,FALSE,FALSE,FALSE,
300,CB,,S,2nd Ave,Far side,Pike St,YES,101 102 113 150 162 177,2,ACT,25,-122.3384382,47.60864532,FALSE,FALSE,FALSE,
320,CB,,S,2nd Ave,Far side,Seneca St,YES,111 212 218 256N 550E 554E,3,ACT,27,-122.3362108,47.60620942,FALSE,FALSE,FALSE,
340,CB,,S,2nd Ave,Near side,Marion St,YES,101 102 113 150 162 177,2,ACT,29,-122.3346158,47.60446681,FALSE,FALSE,FALSE,
375,CB,,S,2nd Ave Ext S,Near side,Yesler Way,YES,111 212 218 256 550E 554E,2,ACT,100012148,-122.3316771,47.60125435,FALSE,FALSE,FALSE,
390,CB,,S,2nd Ave Ext S,Near side,S Jackson St,YES,101 102 150 162 177,2,ACT,33,-122.3298563,47.59926376,FALSE,FALSE,FALSE,
400,CB,,S,3rd Ave,Far side,Bell St,YES,124 131 132 13N 14 17EN 1N 2 21 24N 27 33N 4 56 57 DN EN,2,ACT,34,-122.3442669,47.61430108,FALSE,FALSE,FALSE,
420,CB,,S,3rd Ave,Near side,Virginia St,YES,124 131 132 13N 14 17EN 1N 2 21 21E 24N 27 33N 4 40N 56 57 62N C DN EN H,2,ACT,35,-122.3411107,47.61243642,FALSE,FALSE,FALSE,
490,CB,,S,3rd Ave,Near side,Cherry St,YES,124 131 132 21 24N 27 33N DN EN,3,ACT,44,-122.3322712,47.60358162,FALSE,FALSE,FALSE,
500,CB,,S,3rd Ave,Near side,James St,YES,13N 14 17EN 1N 2N 36 3N 40N 49N 4N 62N 7 70N,1,ACT,45,-122.331568,47.60281462,FALSE,FALSE,FALSE,
531,CB,,N,3rd Ave,Near side,James St,YES,124N 131N 132N 17E 21N 24 27N 28E 33 40 5 62,3,ACT,50,-122.3311738,47.60264213,FALSE,FALSE,FALSE,
538,CB,,N,3rd Ave,Near side,Columbia St,YES,1 13 14N 2N 3 36N 4 70 7N D E,3,ACT,53,-122.3325008,47.60409354,FALSE,FALSE,FALSE,
570,CB,,N,3rd Ave,Near side,Union St,YES,113 124N 131N 132N 17E 21EN 21N 24 27N 28E 33 40 5 56N 57N 62 HN,3,ACT,58,-122.3367,47.60868722,FALSE,FALSE,FALSE,
575,CB,,N,3rd Ave,Near side,Pike St,YES,1 125N 13 14N 2 3 36 4 70 7N C D E,2,ACT,100012220,-122.3375792,47.60964682,FALSE,FALSE,FALSE,
605,CB,,N,3rd Ave,Far side,Bell St,YES,1 124 13 131 132 17E 2 24 28E 33 4 5 D E,2,ACT,62,-122.3453368,47.61511742,FALSE,FALSE,FALSE,
